week,voy_no,num_ports,num_legs,at_sea_hours,in_port_hours,co2_tons,so2_tons,pm10_tons,pm25_tons,status,error
04/2025,026S,2,1,84.0,18.0,488.873048,1.498757,0.570222,0.456549,OK,
05/2025,026N,3,2,46.0,56.0,288.842758,0.833514,0.317938,0.255105,OK,
08/2025,029E,1,0,,,,,,,SKIPPED,Not enough valid ports (need >=2)
09/2025,029W,3,2,32.0,54.0,209.089113,0.584766,0.223355,0.179423,OK,
10/2025,030S–030N,3,2,92.0,88.0,558.960866,1.655702,0.630913,0.505746,OK,
11/2025,030N,2,1,0.0,24.0,15.022108,0.009083,0.004002,0.003596,OK,
12/2025,031S–031N,2,1,46.0,60.0,286.40972,0.832037,0.317323,0.254547,OK,
13/2025,031N,3,2,46.0,54.0,288.208006,0.833131,0.317765,0.25495,OK,
17/2025,034N–034S,4,3,73.0,110.5,462.428728,1.325187,0.505697,0.405857,OK,
18/2025,035N–035S,5,4,129.0,149.0,794.825817,2.328266,0.887631,0.711818,OK,
19/2025,035N–035S,5,4,122.0,154.5,757.011939,2.205136,0.840902,0.67448,OK,
20/2025,036N–036S,4,3,92.5,105.5,571.043163,1.670166,0.636763,0.510667,OK,
21/2025,036N–036S,5,4,127.5,146.5,785.555353,2.301176,0.8773,0.703531,OK,
22/2025,036N–036S,5,4,127.5,219.0,808.565113,2.315062,0.883579,0.709153,OK,
22/2025,037N–037S,5,4,128.0,194.0,803.456387,2.319143,0.884786,0.709912,OK,
23/2025,037N–037S,5,4,125.0,192.5,786.026275,2.265634,0.864425,0.69361,OK,
24/2025,037N–037S,5,4,126.0,215.5,798.977272,2.287781,0.873163,0.700789,OK,
25/2025,038N–038S,5,4,126.0,172.0,785.171416,2.279449,0.869393,0.697416,OK,
26/2025,038N–038S,5,4,123.5,151.0,764.378147,2.231077,0.850714,0.682301,OK,
28/2025,039N–039S,5,4,145.0,175.0,893.499185,2.617092,0.997779,0.80015,OK,
29/2025,039N–039S,5,4,121.0,238.0,777.861484,2.203387,0.841394,0.675559,OK,
30/2025,040N–040S,5,4,134.0,137.0,819.274052,2.414671,0.920309,0.737863,OK,
31/2025,040N–040S,5,4,157.0,142.0,950.84197,2.823657,1.075843,0.86233,OK,
32/2025,041N–041S,5,4,127.0,128.0,776.858222,2.288763,0.872324,0.699399,OK,
33/2025,041N–041S,5,4,128.0,127.0,782.192195,2.306312,0.87898,0.704717,OK,
34/2025,042N–042S,5,4,120.0,128.0,737.298775,2.164581,0.825119,0.661636,OK,
35/2025,042N–042S,5,4,137.0,159.0,843.210373,2.472105,0.942445,0.755751,OK,
36/2025,043N–043S,5,4,123.0,133.0,755.839703,2.218759,0.845784,0.678209,OK,
38/2025,043N–043S,5,4,126.0,221.0,800.72284,2.288834,0.873638,0.701214,OK,
39/2025,044N–044S,6,5,183.0,173.0,1111.318254,3.293088,1.254821,1.005867,OK,
40/2025,044N–044S,6,5,222.0,240.0,1352.985076,3.997796,1.523623,1.221458,OK,
48/2025,050E–050W,4,3,74.0,69.0,454.908973,1.334978,0.508844,0.408034,OK,
49/2025,050E–050W,3,2,37.0,60.0,239.250116,0.674616,0.257593,0.206861,OK,
50/2025,050E–050W,3,2,61.0,61.0,375.19988,1.100578,0.419524,0.336415,OK,
